"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AirNow","410010004","3","6.5","ug/m3 LC","27","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"01/02/2020","AirNow","410010004","3","7.6","ug/m3 LC","32","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"01/03/2020","AirNow","410010004","3","13.7","ug/m3 LC","54","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"01/04/2020","AirNow","410010004","3","6.2","ug/m3 LC","26","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"01/05/2020","AirNow","410010004","3","8.2","ug/m3 LC","34","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"01/06/2020","AirNow","410010004","3","5.8","ug/m3 LC","24","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"01/07/2020","AirNow","410010004","3","10.4","ug/m3 LC","43","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"01/08/2020","AirNow","410010004","3","5.3","ug/m3 LC","22","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"01/09/2020","AirNow","410010004","3","7.7","ug/m3 LC","32","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"01/10/2020","AirNow","410010004","3","6.9","ug/m3 LC","29","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"01/11/2020","AirNow","410010004","3","7.7","ug/m3 LC","32","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"01/12/2020","AirNow","410010004","3","4.2","ug/m3 LC","18","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"01/13/2020","AirNow","410010004","3","5.6","ug/m3 LC","23","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"01/14/2020","AirNow","410010004","3","10.5","ug/m3 LC","44","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"01/15/2020","AirNow","410010004","3","5.6","ug/m3 LC","23","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"01/16/2020","AirNow","410010004","3","3.9","ug/m3 LC","16","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"01/17/2020","AirNow","410010004","3","11.7","ug/m3 LC","49","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"01/18/2020","AirNow","410010004","3","6.8","ug/m3 LC","28","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"01/19/2020","AirNow","410010004","3","7.2","ug/m3 LC","30","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"01/20/2020","AirNow","410010004","3","7.7","ug/m3 LC","32","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"01/21/2020","AirNow","410010004","3","9.7","ug/m3 LC","40","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"01/22/2020","AirNow","410010004","3","12","ug/m3 LC","50","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"01/23/2020","AirNow","410010004","3","17.9","ug/m3 LC","63","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"01/24/2020","AirNow","410010004","3","10.5","ug/m3 LC","44","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
"01/25/2020","AirNow","410010004","3","7.5","ug/m3 LC","31","US FOREST SERVICE OFFICE - BAKER CITY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","","","41","Oregon","001","Baker","44.78822","-117.8446"
