"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2019","AQS","470090011","3","2.7","ug/m3 LC","11","Maryville PM 2.5 monitors","1","100.0000","88101","PM2.5 - Local Conditions","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/02/2019","AQS","470090011","3","4","ug/m3 LC","17","Maryville PM 2.5 monitors","1","100.0000","88101","PM2.5 - Local Conditions","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/03/2019","AQS","470090011","3","3.1","ug/m3 LC","13","Maryville PM 2.5 monitors","1","100.0000","88101","PM2.5 - Local Conditions","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/04/2019","AQS","470090011","3","3","ug/m3 LC","13","Maryville PM 2.5 monitors","1","100.0000","88101","PM2.5 - Local Conditions","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/05/2019","AQS","470090011","3","4.2","ug/m3 LC","18","Maryville PM 2.5 monitors","1","100.0000","88101","PM2.5 - Local Conditions","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/06/2019","AQS","470090011","3","6","ug/m3 LC","25","Maryville PM 2.5 monitors","1","100.0000","88101","PM2.5 - Local Conditions","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/07/2019","AQS","470090011","3","5.3","ug/m3 LC","22","Maryville PM 2.5 monitors","1","100.0000","88101","PM2.5 - Local Conditions","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/08/2019","AQS","470090011","3","5.2","ug/m3 LC","22","Maryville PM 2.5 monitors","1","100.0000","88101","PM2.5 - Local Conditions","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/09/2019","AQS","470090011","3","1.8","ug/m3 LC","8","Maryville PM 2.5 monitors","1","100.0000","88101","PM2.5 - Local Conditions","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/10/2019","AQS","470090011","3","5","ug/m3 LC","21","Maryville PM 2.5 monitors","1","100.0000","88101","PM2.5 - Local Conditions","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/11/2019","AQS","470090011","3","7.5","ug/m3 LC","31","Maryville PM 2.5 monitors","1","100.0000","88101","PM2.5 - Local Conditions","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/12/2019","AQS","470090011","3","11.5","ug/m3 LC","48","Maryville PM 2.5 monitors","1","100.0000","88101","PM2.5 - Local Conditions","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/13/2019","AQS","470090011","3","6.1","ug/m3 LC","25","Maryville PM 2.5 monitors","1","100.0000","88101","PM2.5 - Local Conditions","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/14/2019","AQS","470090011","3","5.1","ug/m3 LC","21","Maryville PM 2.5 monitors","1","100.0000","88101","PM2.5 - Local Conditions","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/15/2019","AQS","470090011","3","7.5","ug/m3 LC","31","Maryville PM 2.5 monitors","1","100.0000","88101","PM2.5 - Local Conditions","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/16/2019","AQS","470090011","3","7.8","ug/m3 LC","33","Maryville PM 2.5 monitors","1","100.0000","88101","PM2.5 - Local Conditions","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/17/2019","AQS","470090011","3","8.6","ug/m3 LC","36","Maryville PM 2.5 monitors","1","100.0000","88101","PM2.5 - Local Conditions","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/18/2019","AQS","470090011","3","6.5","ug/m3 LC","27","Maryville PM 2.5 monitors","1","100.0000","88101","PM2.5 - Local Conditions","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/19/2019","AQS","470090011","3","5.2","ug/m3 LC","22","Maryville PM 2.5 monitors","1","100.0000","88101","PM2.5 - Local Conditions","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/20/2019","AQS","470090011","3","1.8","ug/m3 LC","8","Maryville PM 2.5 monitors","1","100.0000","88101","PM2.5 - Local Conditions","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/21/2019","AQS","470090011","3","1","ug/m3 LC","4","Maryville PM 2.5 monitors","1","100.0000","88101","PM2.5 - Local Conditions","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/22/2019","AQS","470090011","3","7.7","ug/m3 LC","32","Maryville PM 2.5 monitors","1","100.0000","88101","PM2.5 - Local Conditions","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/23/2019","AQS","470090011","3","5.5","ug/m3 LC","23","Maryville PM 2.5 monitors","1","100.0000","88101","PM2.5 - Local Conditions","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/24/2019","AQS","470090011","3","6.5","ug/m3 LC","27","Maryville PM 2.5 monitors","1","100.0000","88101","PM2.5 - Local Conditions","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/25/2019","AirNow","470090011","3","5.5","ug/m3 LC","23","Maryville PM 2.5 monitors","1","100.0000","88101","PM2.5 - Local Conditions","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/26/2019","AirNow","470090011","3","0","ug/m3 LC","0","Maryville PM 2.5 monitors","1","100.0000","88101","PM2.5 - Local Conditions","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/27/2019","AirNow","470090011","3","0.1","ug/m3 LC","0","Maryville PM 2.5 monitors","1","100.0000","88101","PM2.5 - Local Conditions","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/29/2019","AQS","470090011","3","9.3","ug/m3 LC","39","Maryville PM 2.5 monitors","1","100.0000","88101","PM2.5 - Local Conditions","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/30/2019","AQS","470090011","3","3.3","ug/m3 LC","14","Maryville PM 2.5 monitors","1","100.0000","88101","PM2.5 - Local Conditions","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"01/31/2019","AQS","470090011","3","6.4","ug/m3 LC","27","Maryville PM 2.5 monitors","1","100.0000","88101","PM2.5 - Local Conditions","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"02/01/2019","AQS","470090011","3","11.2","ug/m3 LC","47","Maryville PM 2.5 monitors","1","100.0000","88101","PM2.5 - Local Conditions","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"02/02/2019","AQS","470090011","3","11.2","ug/m3 LC","47","Maryville PM 2.5 monitors","1","100.0000","88101","PM2.5 - Local Conditions","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"02/03/2019","AQS","470090011","3","9.8","ug/m3 LC","41","Maryville PM 2.5 monitors","1","100.0000","88101","PM2.5 - Local Conditions","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"02/04/2019","AQS","470090011","3","9","ug/m3 LC","38","Maryville PM 2.5 monitors","1","100.0000","88101","PM2.5 - Local Conditions","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"02/05/2019","AQS","470090011","3","8.7","ug/m3 LC","36","Maryville PM 2.5 monitors","1","100.0000","88101","PM2.5 - Local Conditions","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
"02/06/2019","AQS","470090011","3","6.6","ug/m3 LC","28","Maryville PM 2.5 monitors","1","100.0000","88101","PM2.5 - Local Conditions","28940","Knoxville, TN","47","Tennessee","009","Blount","35.768847","-83.942152"
