"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/04/2020","AQS","401091037","3","9","ug/m3 SC","8","OKC NORTH","1","100.0000","81102","PM10 Total 0-10um STP","36420","Oklahoma City, OK","40","Oklahoma","109","Oklahoma","35.6141310008935","-97.475083"
"01/05/2020","AQS","401091037","3","12","ug/m3 SC","11","OKC NORTH","1","100.0000","81102","PM10 Total 0-10um STP","36420","Oklahoma City, OK","40","Oklahoma","109","Oklahoma","35.6141310008935","-97.475083"
"01/06/2020","AQS","401091037","3","20","ug/m3 SC","19","OKC NORTH","1","100.0000","81102","PM10 Total 0-10um STP","36420","Oklahoma City, OK","40","Oklahoma","109","Oklahoma","35.6141310008935","-97.475083"
"01/07/2020","AQS","401091037","3","33","ug/m3 SC","31","OKC NORTH","1","100.0000","81102","PM10 Total 0-10um STP","36420","Oklahoma City, OK","40","Oklahoma","109","Oklahoma","35.6141310008935","-97.475083"
"01/08/2020","AQS","401091037","3","32","ug/m3 SC","30","OKC NORTH","1","100.0000","81102","PM10 Total 0-10um STP","36420","Oklahoma City, OK","40","Oklahoma","109","Oklahoma","35.6141310008935","-97.475083"
"01/09/2020","AQS","401091037","3","18","ug/m3 SC","17","OKC NORTH","1","100.0000","81102","PM10 Total 0-10um STP","36420","Oklahoma City, OK","40","Oklahoma","109","Oklahoma","35.6141310008935","-97.475083"
"01/10/2020","AQS","401091037","3","15","ug/m3 SC","14","OKC NORTH","1","100.0000","81102","PM10 Total 0-10um STP","36420","Oklahoma City, OK","40","Oklahoma","109","Oklahoma","35.6141310008935","-97.475083"
"01/11/2020","AQS","401091037","3","14","ug/m3 SC","13","OKC NORTH","1","100.0000","81102","PM10 Total 0-10um STP","36420","Oklahoma City, OK","40","Oklahoma","109","Oklahoma","35.6141310008935","-97.475083"
"01/12/2020","AQS","401091037","3","12","ug/m3 SC","11","OKC NORTH","1","100.0000","81102","PM10 Total 0-10um STP","36420","Oklahoma City, OK","40","Oklahoma","109","Oklahoma","35.6141310008935","-97.475083"
"01/13/2020","AQS","401091037","3","18","ug/m3 SC","17","OKC NORTH","1","100.0000","81102","PM10 Total 0-10um STP","36420","Oklahoma City, OK","40","Oklahoma","109","Oklahoma","35.6141310008935","-97.475083"
"01/14/2020","AQS","401091037","3","20","ug/m3 SC","19","OKC NORTH","1","100.0000","81102","PM10 Total 0-10um STP","36420","Oklahoma City, OK","40","Oklahoma","109","Oklahoma","35.6141310008935","-97.475083"
"01/15/2020","AQS","401091037","3","20","ug/m3 SC","19","OKC NORTH","1","100.0000","81102","PM10 Total 0-10um STP","36420","Oklahoma City, OK","40","Oklahoma","109","Oklahoma","35.6141310008935","-97.475083"
"01/16/2020","AQS","401091037","3","17","ug/m3 SC","16","OKC NORTH","1","100.0000","81102","PM10 Total 0-10um STP","36420","Oklahoma City, OK","40","Oklahoma","109","Oklahoma","35.6141310008935","-97.475083"
"01/17/2020","AQS","401091037","3","4","ug/m3 SC","4","OKC NORTH","1","100.0000","81102","PM10 Total 0-10um STP","36420","Oklahoma City, OK","40","Oklahoma","109","Oklahoma","35.6141310008935","-97.475083"
"01/18/2020","AQS","401091037","3","9","ug/m3 SC","8","OKC NORTH","1","100.0000","81102","PM10 Total 0-10um STP","36420","Oklahoma City, OK","40","Oklahoma","109","Oklahoma","35.6141310008935","-97.475083"
"01/19/2020","AQS","401091037","3","9","ug/m3 SC","8","OKC NORTH","1","100.0000","81102","PM10 Total 0-10um STP","36420","Oklahoma City, OK","40","Oklahoma","109","Oklahoma","35.6141310008935","-97.475083"
"01/20/2020","AQS","401091037","3","12","ug/m3 SC","11","OKC NORTH","1","100.0000","81102","PM10 Total 0-10um STP","36420","Oklahoma City, OK","40","Oklahoma","109","Oklahoma","35.6141310008935","-97.475083"
"01/21/2020","AQS","401091037","3","19","ug/m3 SC","18","OKC NORTH","1","100.0000","81102","PM10 Total 0-10um STP","36420","Oklahoma City, OK","40","Oklahoma","109","Oklahoma","35.6141310008935","-97.475083"
"01/22/2020","AQS","401091037","3","5","ug/m3 SC","5","OKC NORTH","1","100.0000","81102","PM10 Total 0-10um STP","36420","Oklahoma City, OK","40","Oklahoma","109","Oklahoma","35.6141310008935","-97.475083"
"01/23/2020","AQS","401091037","3","7","ug/m3 SC","6","OKC NORTH","1","100.0000","81102","PM10 Total 0-10um STP","36420","Oklahoma City, OK","40","Oklahoma","109","Oklahoma","35.6141310008935","-97.475083"
"01/24/2020","AQS","401091037","3","8","ug/m3 SC","7","OKC NORTH","1","100.0000","81102","PM10 Total 0-10um STP","36420","Oklahoma City, OK","40","Oklahoma","109","Oklahoma","35.6141310008935","-97.475083"
"01/25/2020","AQS","401091037","3","11","ug/m3 SC","10","OKC NORTH","1","100.0000","81102","PM10 Total 0-10um STP","36420","Oklahoma City, OK","40","Oklahoma","109","Oklahoma","35.6141310008935","-97.475083"
