"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","060190500","1","19","ug/m3 SC","18","Table Mountain Air Monitoring Site","1","100.0000","81102","PM10 Total 0-10um STP","23420","Fresno, CA","06","California","019","Fresno","36.9851185574381","-119.658339349936"
"01/02/2020","AQS","060190500","1","22","ug/m3 SC","20","Table Mountain Air Monitoring Site","1","100.0000","81102","PM10 Total 0-10um STP","23420","Fresno, CA","06","California","019","Fresno","36.9851185574381","-119.658339349936"
"01/03/2020","AQS","060190500","1","15","ug/m3 SC","14","Table Mountain Air Monitoring Site","1","100.0000","81102","PM10 Total 0-10um STP","23420","Fresno, CA","06","California","019","Fresno","36.9851185574381","-119.658339349936"
"01/04/2020","AQS","060190500","1","8","ug/m3 SC","7","Table Mountain Air Monitoring Site","1","100.0000","81102","PM10 Total 0-10um STP","23420","Fresno, CA","06","California","019","Fresno","36.9851185574381","-119.658339349936"
"01/05/2020","AQS","060190500","1","10","ug/m3 SC","9","Table Mountain Air Monitoring Site","1","100.0000","81102","PM10 Total 0-10um STP","23420","Fresno, CA","06","California","019","Fresno","36.9851185574381","-119.658339349936"
"01/06/2020","AQS","060190500","1","14","ug/m3 SC","13","Table Mountain Air Monitoring Site","1","100.0000","81102","PM10 Total 0-10um STP","23420","Fresno, CA","06","California","019","Fresno","36.9851185574381","-119.658339349936"
"01/07/2020","AQS","060190500","1","13","ug/m3 SC","12","Table Mountain Air Monitoring Site","1","100.0000","81102","PM10 Total 0-10um STP","23420","Fresno, CA","06","California","019","Fresno","36.9851185574381","-119.658339349936"
"01/08/2020","AQS","060190500","1","13","ug/m3 SC","12","Table Mountain Air Monitoring Site","1","100.0000","81102","PM10 Total 0-10um STP","23420","Fresno, CA","06","California","019","Fresno","36.9851185574381","-119.658339349936"
"01/09/2020","AQS","060190500","1","7","ug/m3 SC","6","Table Mountain Air Monitoring Site","1","100.0000","81102","PM10 Total 0-10um STP","23420","Fresno, CA","06","California","019","Fresno","36.9851185574381","-119.658339349936"
"01/10/2020","AQS","060190500","1","7","ug/m3 SC","6","Table Mountain Air Monitoring Site","1","100.0000","81102","PM10 Total 0-10um STP","23420","Fresno, CA","06","California","019","Fresno","36.9851185574381","-119.658339349936"
